Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
GEOL,298,01,1-4,TBA,,TBA,0,0,,40146,In Person,Research
ENGL,001B,11,3,1630,1745,TR,21,25,A Rohatgi,46406,In Person,Argument and Analysis
KIN,155,02,0,0730,0920,M,27,20,C Cisar,41328,In Person,Exercise Physiology
EDSE,224,01,3,1900,2145,W,20,35,S Kulkarni,44747,2 Pat - Mtg Pat & TBA (See Class Note),Meths SLL in Sp Ed
BIOL,065,13,0,1530,1700,MW,31,30,R Hardin,41017,In Person,Human Anatomy
FREN,001B,99,4,TBA,,TBA,18,40,F Herrmann,44972,Online Only - TBA Mtg Pat,Elem French
ENVS,150,01,3,1630,1915,M,20,25,W Russell,42120,In Person,Intro Env Thought
PHIL,010,01,3,0730,0845,MW,39,41,A Delunas,40210,In Person,Intro to Phil
EDCO,004FY,12,0,1800,1950,T,16,25,L Gervais,45464,In Person,Career Exploration
ISE,135,02,3,1200,1315,TR,69,90,S Erdogan,49935,In Person,Design of Expmts
COMM,181F,80,4,TBA,,TBA,22,25,T Coopman,47963,Online Only - TBA Mtg Pat,New Media/World
ENGL,002,14,3,1200,1315,MW,25,25,R McNabb,42440,In Person,Critical Thinking and Writing
LING,123,06,3,0900,1015,TR,24,25,T Chatterjee,48212,In Person,Sound Comm
MATH,298,04,3,TBA,,TBA,1,3,B Lee,50755,In Person,Special Study
KIN,054B,01,1,0830,0920,TR,3,10,J Schachner,50618,In Person,Int Tae Kwon Do
ENGL,002,19,3,1330,1445,TR,25,25,R James,43390,In Person,Critical Thinking and Writing
BIOL,055,15,0,1430,1720,F,8,10,F Hijazi,44547,In Person,Biostatistics
ISE,142,01,3,1800,2045,W,78,90,P Tam,47138,In Person,Svc Sys Engrg & Mgmt
MUSC,057,01,1,1530,1720,TR,8,20,A Lington,41523,In Person,JazzOrch
BUS2,138,80,3,TBA,,TBA,41,45,J Bechkoff,48532,Online Only - TBA Mtg Pat,Mktg Research
KIN,061A,06,1,1730,1820,TR,58,50,A Batt,49869,In Person,Begin Hatha Yoga
ENGL,299,02,3,TBA,,TBA,1,10,R McNabb,50212,In Person,University Thesis
GLST,164,01,3,1500,1615,TR,26,35,B White,47811,In Person,Global Citizenship
TA,005,01,3,0900,1015,MW,26,26,L Long,41282,In Person,Acting
COMM,199C,02,4,1800,1915,M,27,25,M Holopainen,47944,2 Pat - Mtg Pat & TBA (See Class Note),Senior Seminar
BIOL,186,22,4,TBA,,TBA,0,15,,48071,In Person,Senior Thesis
HIST,132,01,4,1330,1445,MW,23,25,J Roth,43594,In Person,Military History to 1815
PKG,156,01,3,1030,1210,T,22,20,X Liu,48815,In Person,Pkg Mchnry Systems
CS,046A,12,0,1100,1345,F,29,30,K O'Brien,47575,In Person,Intro to Progrmng
KIN,014C,01,1,1430,1520,MW,34,40,O Crespo,42522,In Person,Adv Volleyball
SCWK,251,01,3,1800,2045,M,13,30,S Diwan,48388,In Person,Soc Wk W Aging Pop
BUS2,194B,01,3,1630,1745,MW,35,40,H Eisips,45527,In Person,Business Analytics
EE,102,02,3,0900,1015,MW,27,45,E Bellegarda,47563,In Person,Prob/Stat in EE
MCOM,100W,03,3,1630,1745,TR,18,20,R Nichols,46468,In Person,Wrtg Wkhp in Comm
SCWK,298A,05,3,1500,1745,T,13,15,S Lee,46647,In Person,Special Study A
SCI,002,13,0,1600,1750,T,21,20,S Lilienthal,49125,In Person,Success in Science
CMPE,285,01,3,1800,2045,M,48,60,R Sinn,42150,In Person,Sw Engr Processes
PHYS,002A,13,0,1400,1620,MW,24,20,M Lagana,40223,In Person,Fund of Physics
BUS4,111,01,3,1030,1145,MW,113,119,N Aggarwal,44863,In Person,Networking & Data Communics
ENGR,100W,05,3,0930,1020,MW,23,22,B Hsia,41221,In Person,Engr Reports
BUS4,092,01,3,0900,1015,MW,46,45,M Roldan,40411,In Person,Intro Bus Prog
ENGL,180,02,2,TBA,,TBA,0,13,R McNabb,42570,In Person,Indv Studies
BUS2,130,12,3,1500,1615,TR,51,45,R Murray,48527,In Person,Intro to Marketing
ISE,245,02,3,1500,1745,M,46,80,H Liu,49914,In Person,Adv Sply Chain Engr
JPN,001B,02,4,0830,1010,TR,20,30,S Inaba,43915,In Person,Elem Japanese
GLST,001A,01,3,1030,1145,TR,30,35,S Ou,49116,In Person,Intro to Global Studies
NUFS,280A,06,6,TBA,,TBA,0,10,K Mauldin,40553,In Person,Dietetic Internship
POLS,100M,01,4,1030,1145,TR,31,30,M Currin-Percival,45050,In Person,Political Inquiry
JS,179,02,3,1500,1615,MW,12,20,H Kazem,49022,In Person,HR Pract and Sem
METR,168A,01,6,1030,1315,TR,0,40,A Mathews,49398,In Person,Global Climate Change I
HUM,128,80,3,TBA,,TBA,40,40,L Stenmark,43600,Online Only - TBA Mtg Pat,Twentieth Century
ME,120,04,0,1800,2045,M,16,15,A Mysore,40461,In Person,Experimental Meths
KIN,176,02,3,1330,1445,MW,41,40,D Murphy,49870,In Person,Exercise Psych
GEOG,120,80,3,TBA,,TBA,18,30,G Pereira,43827,Online Only - TBA Mtg Pat,Food Suppl Agr Sys
HS,161,04,0,1700,1750,T,46,48,D Cao,43254,In Person,Epidemiology
BUS2,190,81,3,TBA,,TBA,49,45,B Boveda,45489,Online Only - TBA Mtg Pat,Quant Bus Analysis
BIOL,178,01,3,0900,1015,MW,13,24,J Johnston,42453,In Person,Integr Phys
KIN,162,01,3,1230,1320,TR,36,40,C Cisar,40359,In Person,Adv Fit Asse Ex RX
CE,190,01,2,1800,1950,T,44,45,A Wong,41203,In Person,Numer Solu CE Prob
EE,098,04,3,1030,1145,TR,46,50,B Mantha,43513,In Person,Intro Ckt Analysis
MUSC,117,02,3,1200,1315,MW,70,65,A Romero,44896,In Person,Mus Cul Latin Am
MATH,134,02,3,1500,1615,MW,44,28,S Simic,43863,In Person,Diff Eqn Dynam Sys
JS,100W,03,3,1200,1315,MW,25,24,K Lynch,43355,In Person,Writing Workshop
SE,154,04,3,1330,1445,MW,0,30,C Tsao,50697,In Person,Formal Lang & Comput
ENGL,001A,51,3,1330,1445,MW,23,23,M Mohsenzadegan,43465,In Person,First Year Writing
EE,277A,03,3,1230,1515,F,17,35,A Rahimi,50757,In Person,Embedded SoC Des.
GEOL,007,02,4,1200,1315,TR,63,63,J Petsche,41260,In Person,Earth Time and Life
UNVS,075,04,0,1800,1950,T,6,12,S Lilienthal,49653,In Person,LdrshpCareerAcc
CS,143M,01,3,0900,1015,TR,2,25,M Saleem,49594,In Person,Num Analy Sci Comp
MUSC,060M,01,1,1900,2100,T,3,15,M Hernandez,41545,In Person,SaxophoneEns
ME,120,01,2,0900,0950,W,129,120,A Mysore,42631,In Person,Experimental Meths
ADV,091,01,3,1500,1615,MW,119,150,D Ocampo,40002,In Person,Intro Advertising
MDES,145,01,3,0900,1015,TR,1,30,A Zarate,49415,In Person,Mideast Tradition
BUS2,130,81,3,TBA,,TBA,39,45,M Easter,40939,Online Only - TBA Mtg Pat,Intro to Marketing
SCWK,240,02,3,0930,1215,F,26,30,K Lemon,43032,In Person,Res Method & Des
EDCO,004FY,20,0,1800,1950,R,14,25,I Sanchez,45481,In Person,Career Exploration
NUFS,298,09,3,TBA,,TBA,0,10,J Gieng,40565,In Person,Special Studies
CHEM,180,02,1,TBA,,TBA,5,10,L Cheruzel,45277,In Person,Indiv Studies
EE,223,01,3,1930,2045,MW,30,35,S Lee,46509,In Person,Analog Int Ckts
ENVS,161,01,4,1300,1445,F,18,20,G Klee,45394,In Person,California Wildlands
NUFS,192,10,5,TBA,,TBA,0,10,F Yambrach,45095,In Person,Fld Exp NufS/Pkg
ENGL,001A,53,3,1330,1445,MW,23,23,B Vevoda,43466,In Person,First Year Writing
RECL,170A,80,1,TBA,,TBA,15,15,S Ross,45324,Online Only - TBA Mtg Pat,Pre-Intern Workshp
MATH,018AW,03,1,1200,1315,TR,26,24,A Frank-Baldwin,48406,In Person,Coll Algebra Wkshp
INFO,281,02,2,TBA,,TBA,13,35,D Buenting,47461,Online Only - TBA Mtg Pat,Colloq Contemp Iss
INFO,285,03,3,TBA,,TBA,20,35,T Dickey,42919,Online Only - TBA Mtg Pat,App. Res. Methods
BIOL,280,15,2,TBA,,TBA,0,15,,48181,In Person,Individual Studies
ME,250,01,3,1800,1915,MW,31,50,M Pharand,47774,In Person,Precision Mach Des
PHYS,002B,22,0,1500,1750,R,16,18,J Mijares,48171,In Person,Fund of Physics
BIOL,180,10,1,TBA,,TBA,5,15,B Carter,41453,In Person,Indiv Studies
ENVS,173,01,4,1000,1245,F,20,20,W Russell,46381,In Person,Forest Ecol
HUM,180,01,1,TBA,,TBA,0,1,C Rostankowski,42409,In Person,Indiv Studies
LING,124,01,3,1030,1145,TR,16,25,H Koo,42868,In Person,Intro Speech Tech
MATH,299,02,3,TBA,,TBA,0,3,,50751,In Person,Masters Thesis
PHYS,050W,02,1,1030,1220,M,19,20,E Sigari,41148,In Person,Physics Workshop
ME,147,01,3,1200,1315,MW,40,35,F Amirkulova,40166,In Person,Dyn Sys Vibs Cntrl
NUFS,298,18,3,TBA,,TBA,0,10,X Liu,41185,In Person,Special Studies
PHIL,186,87,3,TBA,,TBA,31,45,T Gullion,48014,Online Only - TBA Mtg Pat,Prof & Bus Ethics
NUFS,135,05,3,1200,1445,T,4,30,A Shaw,49671,In Person,Hlth Multiculture
ENVS,185,01,4,1630,1915,T,17,22,S George,47830,In Person,Envir Impact Anal
ENGR,100W,31,3,1100,1150,TR,25,22,J Leih,42993,In Person,Engr Reports
JS,184,01,1,TBA,,TBA,0,5,A De Giorgi,46798,In Person,Directed Reading
INFO,281,04,1,TBA,,TBA,15,35,C Confetti,44526,Online Only - TBA Mtg Pat,Colloq Contemp Iss
CHEM,180,15,1,TBA,,TBA,13,12,G Muller,45290,In Person,Indiv Studies
MUSC,259,01,1,1330,1520,MW,2,3,J Lewis,44020,In Person,GrdLatinJazzEns
CHAD,070,04,3,1500,1615,MW,33,30,J Maleksalehi,45557,In Person,Lifespan Devel
TA,172,01,3,1330,1445,MW,1,32,L Linden,49345,In Person,Arts in US Society
UNVS,101,09,0,1800,1950,W,15,16,M McNeil,50099,In Person,Leadership
BME,025,01,3,1800,1950,M,87,86,C Rappleye,47324,In Person,Intro BioMed
ENGR,121,01,3,1330,1445,TR,18,30,F Marbouti,45928,In Person,Algo. for Soc Sci
HS,169,06,3,1330,1445,TR,3,30,N Williams,49328,In Person,Divrsty/Stress/Hlth
CMPE,131,04,3,1800,2045,R,32,50,F Butt,47706,In Person,Software Engr I
LLD,100A,02,3,0900,1015,MW,21,22,S Alkire,44452,In Person,Writing Competency
MUSC,173,01,3,1500,1745,T,1,32,V Rue,49352,In Person,Cont World Arts
ENGL,001A,38,3,1200,1315,TR,23,23,L Lindelof,43150,In Person,First Year Writing
ME,106,03,0,1800,2045,W,15,20,,47623,In Person,Fund Mechatro Engr
CHAD,164,02,3,1200,1315,MW,31,30,A Shah,43539,In Person,Contem Parenting
HS,104,02,3,1200,1315,MW,76,75,V Gomez,45396,In Person,Com Hlth Promo
KIN,035A,08,1,1430,1520,TR,32,32,L Pate,43206,In Person,Begin Wt Training
LLD,100WB,03,3,1200,1315,MW,25,25,K Haven,48248,In Person,Wrtg Wrkshp Bsns Stdnts
MS,105,02,0,TBA,,TBA,2,15,D Steller,41616,In Person,Mar Sci Diving
BUS2,138,03,3,1500,1745,W,46,45,R Sibley,43715,In Person,Mktg Research
ENGL,001A,57,3,1500,1615,MW,23,23,M Mohsenzadegan,44158,In Person,First Year Writing
SCWK,141,06,4,TBA,,TBA,12,15,R Bhader,47091,In Person,Field Practicum I
ENGR,010,03,0,0900,1145,R,23,22,,42974,In Person,Intro to Engr
MATH,071W,07,1,0900,1015,TR,27,28,S Crunk,47903,In Person,Calc Wkshp Bus/Avi
INFO,260A,01,3,TBA,,TBA,21,35,P Peck,43396,Online Only - TBA Mtg Pat,Prgrm and Srvcs for Chld
SOCI,171,01,3,1200,1315,MW,35,35,V Montes,47884,In Person,Person and Society
CMPE,110,02,0,1330,1620,T,19,25,A Bindal,44387,In Person,Electronics Comp
ENVS,195,01,3,TBA,,TBA,1,5,W Russell,42663,In Person,Inst Asst Env Stud
ANTH,160,01,3,0900,1015,MW,42,40,M Meniketti,41149,In Person,Recon Lost Civs
SCI,001,16,1.5,1800,1915,MW,0,30,K Singmaster,44130,In Person,Acadmc Excel Wkshp
BUS3,186,04,3,1330,1445,MW,28,60,L Bernasconi,49357,In Person,Prof & Bus Ethics
LING,020,99,3,TBA,,TBA,25,25,D Hunter,43528,Online Only - TBA Mtg Pat,Nature of Language
EDTE,217A,04,0,TBA,,TBA,8,10,C Hartunian,50131,In Person,Rdg Practicum I
CA,190,01,1,TBA,,TBA,0,1,S Riley,42383,In Person,Field Work-Intern
SOCI,170,80,3,TBA,,TBA,35,35,T DeHaan,48522,Online Only - TBA Mtg Pat,Soci of Family
ENGL,001AF,01,3,0730,0845,MW,22,22,L Chen,44849,In Person,FYW: Stretch English I
MUSC,167,01,3,1530,1815,W,15,20,P Furman,40192,In Person,Electro- Acoustic Music I
ENVS,299,03,3,TBA,,TBA,0,3,W Russell,42692,In Person,MS Thesis/Project
JS,153,01,3,1630,1745,MW,11,60,G Woods,48396,In Person,Crime/Life course
COMM,020,77,3,1630,1745,R,27,27,P Daley- Harms,47303,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
MUSC,155,01,1,1330,1520,MW,26,50,D Vickerman,41555,In Person,ENS: Wind Ensemble
JOUR,061,01,3,1500,1615,MW,20,20,N Garud Patkar,40758,In Person,Prnt/Mag and Online Wrtg
PHYS,052,20,0,1500,1750,T,12,18,V Santhanakrishnan,45346,In Person,General Physics
ANTH,011,04,3,1500,1615,TR,30,40,S Ou,46795,In Person,Cultural Anthro
MS,298,06,1,TBA,,TBA,0,25,,42065,In Person,Resrch Mar Sci
NURS,146A,01,2,0700,1300,T,8,10,J Youssef,40913,In Person,Peds Clinical
KIN,160,01,3,0900,1015,TR,39,40,S Reekie,45623,In Person,Hist of Sport & PE
TA,011,80,3,1500,1615,MW,22,40,L Long,48994,Online Only - 2 Pat (See Class Note),Script Analysis
AMS,001A,65,6,1500,1615,MW,18,32,V Lo,47512,In Person,Amer Cultures 1877
CMPE,140,05,0,0830,1120,T,22,25,H Jeon,50688,In Person,Comp Arch & Design
ATH,006I,02,1,TBA,,TBA,0,50,,40023,In Person,Basketball-Women
RTVF,130,02,0,1100,1245,R,17,18,C Guzzetta,43118,In Person,Inter Film/TV Prod
AMS,001A,01,0,1200,1315,MW,29,32,D Rivers,47536,In Person,Amer Cultures 1877
BUS5,140,84,3,TBA,,TBA,45,45,S Zhou,44810,Online Only - TBA Mtg Pat,Fund of Oper Mgmt
HUM,100W,01,3,1330,1445,MW,20,25,J Georges,48150,In Person,Writing Humanities
BUS1,021,09,3,1330,1445,TR,44,45,D Belger,47282,In Person,Managerial Acctg
ENGR,100W,50,0,1110,1230,F,25,22,A Petrosyan,43829,In Person,Engr Reports
ANTH,155,01,3,1330,1445,TR,20,25,E Weiss,44426,In Person,Human Osteology
BUS1,125A,80,3,TBA,,TBA,9,25,C Lycurgus,47080,Online Only - TBA Mtg Pat,WritingforAcctg
EE,136,01,3,1330,1445,TR,40,35,M Badawy,47571,In Person,Power Electronics
AFAM,166,01,3,1500,1615,TR,15,20,T Berry,48886,In Person,AfAm Women in Hist
AMS,169,80,3,1630,1745,M,18,40,J Ormsbee,50158,Online Only - With Mtg Pattern,Amer Dream
CS,152,03,3,1330,1445,MW,32,30,T Austin,47409,In Person,Progrmng Paradigms
AVIA,177,01,3,0730,0845,MW,33,40,V Collom,40253,In Person,Genl Av Ops & Mgmt
CE,162,01,3,1030,1120,TR,50,54,A Al-Manaseer,44781,In Person,Struc Concrete Des
BUS2,130,06,3,1500,1745,M,50,45,B Boveda,41322,In Person,Intro to Marketing
HS,167,06,0,1500,1545,R,24,25,J Pham,45408,In Person,Biostatistics
BUS1,021,02,3,1030,1145,MW,47,45,M Bullen,47275,In Person,Managerial Acctg
ISE,180,03,3,TBA,,TBA,0,35,,47166,In Person,Individ Studies
NUFS,109,01,3,1030,1145,TR,35,30,C Hollenbeck,40198,In Person,Adv Nutr
SPAN,120A,80,4,TBA,,TBA,31,32,D Bacich,45014,Online Only - TBA Mtg Pat,Spanish Literature I
KIN,014A,04,1,1330,1420,MW,42,40,O Crespo,42515,In Person,Begin Volleyball
KIN,158,04,0,1200,1350,T,17,20,L Jin,43210,In Person,Biomechanics
NURS,146B,03,2,1500,2100,T,9,10,J Barnby,44691,In Person,Mat Hlth Clinical
ENGL,071,05,3,1630,1745,TR,15,25,M Edgerton,44714,In Person,Intro Creative Writ
ME,106,02,0,1330,1615,T,15,20,B Furman,47622,In Person,Fund Mechatro Engr
ME,295B,12,3,TBA,,TBA,3,10,R Yee,47783,In Person,ME Project II
MUSC,151,01,1,1530,1620,TR,7,20,C Brown,41519,In Person,Women's Choir
GEOL,180,18,1,TBA,,TBA,0,5,,44287,In Person,Indiv Studies
HS,169,05,3,1200,1315,TR,6,30,K Russell,49327,In Person,Divrsty/Stress/Hlth
ME,106,04,0,1330,1615,R,18,20,,47630,In Person,Fund Mechatro Engr
PHIL,155,01,3,1500,1745,M,21,35,R Chan,40918,In Person,Phil of Law
AVIA,001,02,3,0900,1015,MW,31,30,V Wawrzynski,50019,In Person,Intro Avia Indus
MICR,299,03,2,TBA,,TBA,0,10,,40735,In Person,M A Thesis/Project
ENGL,002,16,3,1630,1745,TR,25,25,R James,42442,In Person,Critical Thinking and Writing
MUSC,260L,01,1,TBA,,TBA,0,3,C Payne,44026,In Person,GrdEnsWdwnd
PSYC,120,42,0,1030,1230,R,25,24,J Citron,42447,In Person,Adv Res Meth & Des
EDSE,217D,03,3,TBA,,TBA,0,6,,44740,In Person,Adv Dir Teaching
FLED,380,01,3,1700,2000,T,13,15,A Jensen,42688,In Person,Teaching Fl
URBP,185,10,0,TBA,,TBA,3,22,S George,49466,In Person,Envir Impact Anal
KIN,100W,08,3,0730,0845,TR,25,25,C Jones,50616,In Person,Writing Workshop
RTVF,181,01,3,1500,1745,T,35,40,S Sublett,43948,In Person,Modrn Film History
KIN,161,01,3,1330,1445,MW,40,40,D Bohigian,42099,In Person,Philos of Sport
CHEM,100W,03,3,0800,0915,TR,11,18,B Stone,49921,In Person,Writing Wkshp Chem
MUSC,122A,01,1,1130,1220,TR,12,23,S Nagami,41497,In Person,Fund Tech Woodwnds
BIOL,107,01,3,1815,1930,MW,61,60,D KIANG,46464,In Person,Immunology
CCS,299,01,3-6,TBA,,TBA,0,0,E Azcona,48709,In Person,MA Thesis
KIN,285,02,2,TBA,,TBA,0,5,B Shifflett,40577,In Person,Internship Kinesiology
MUSC,054,01,1,1330,1520,TR,40,30,C McKenzie,41562,In Person,SymphBand
HUM,002A,03,0,0900,1015,TR,18,35,J Stenberg,48131,In Person,Hum Honors 2A
RTVF,183,01,3,1200,1315,MW,40,40,C Burrows,41420,In Person,Study-Resrch RTVF
INFO,234,01,3,TBA,,TBA,13,35,C Gardner,42310,Online Only - TBA Mtg Pat,Int Freedom Sem
CHEM,001A,10,0,0730,1020,T,27,27,C Cabreros,40103,In Person,General Chem
GEOL,285,01,2,1330,1615,R,8,12,N Bogie,46529,In Person,Seminar
BIOL,186,21,4,TBA,,TBA,0,15,,48070,In Person,Senior Thesis
AE,180,06,1,1500,1550,M,13,30,J Hunter,49907,In Person,Individual Studies
ENVS,158,01,3,1200,1315,MW,26,25,R Foran,47719,In Person,Environmental Education
CMPE,165,02,3,1800,2045,T,35,60,I Eswar,50492,In Person,SW Eng Process Mng
SOCI,162,02,3,1030,1145,TR,35,35,F DuCros,43811,In Person,Race/Ethnic Rels
COMM,020,63,3,0900,1015,R,23,25,K Ward,47257,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
ECON,298E,01,1,TBA,,TBA,7,30,R Liu,40305,In Person,Comp Exam
GEOG,010,81,3,TBA,,TBA,32,30,E Pena,44439,Online Only - TBA Mtg Pat,Cultural Geography
KIN,061A,03,1,0730,0920,F,50,50,S Caughlan,40972,In Person,Begin Hatha Yoga
SOCI,180,12,1,TBA,,TBA,0,5,,43899,In Person,Indiv Studies
URBP,151,01,4,1630,1915,T,4,5,G Douglas,48446,In Person,Intro Urban Design
CS,151,01,3,1200,1315,MW,117,120,N Attar,40134,In Person,Object Orntd Dsgn
KIN,100W,01,3,1030,1145,MW,27,25,D Bohigian,43309,In Person,Writing Workshop
ME,172,01,3,0930,1215,F,18,40,F Rongere,47686,In Person,Alt Renew Energy Resourc
NUFS,135,04,3,0900,1145,M,6,30,A Shaw,49670,In Person,Hlth Multiculture
AFAM,025,80,3,TBA,,TBA,10,40,E Watkins,49638,Online Only - TBA Mtg Pat,Changing Majority
OCTH,212,03,3,1330,1615,W,27,28,L Le,42863,In Person,Lifespan occupat
ENGL,002,23,3,1500,1615,MW,25,25,Z Babaci-Wilhite,46782,In Person,Critical Thinking and Writing
NUFS,192,01,1,TBA,,TBA,0,20,J Kubota,45086,In Person,Fld Exp NufS/Pkg
NUFS,146,02,0,1030,1215,W,0,20,F Yambrach,49311,In Person,Medical Device Pkg
CMPE,030,01,3,0800,0850,TR,59,60,F Mortezaie,40492,In Person,Programming Concept & Meth
HS,263,01,2,1800,2045,T,17,25,A Santiago,40676,In Person,Prin/Skls Hlth Adm
KIN,052A,02,1,1030,1120,TR,28,30,D Williams,43039,In Person,Begin Judo
CMPE,295B,12,3,1800,2045,F,0,30,D Harkey,42554,In Person,Master Project II
MATH,019,63,5,1330,1455,MWF,68,75,A Jiru,45682,In Person,Precalculus
NUFS,299,19,1,TBA,,TBA,0,10,G Pignotti,42110,In Person,Mas Thesis or Proj
ME,101,04,3,1030,1145,MW,28,25,B Furman,43372,In Person,Dynamics
INFO,294,04,4,TBA,,TBA,0,35,L Main,44542,Online Only - TBA Mtg Pat,Prof Exp Intern
CS,218,01,3,1330,1445,TR,24,20,K Li,41475,In Person,Topics Cloud Comp
AMS,001B,02,6,1500,1615,TR,24,32,J Ormsbee,45411,In Person,Am Cults 1877-pres
MUSC,166,01,3,1030,1145,TR,19,25,B Harrer,49414,In Person,Physics of Music
CMPE,273,02,3,1800,2045,T,34,70,H Li,42673,In Person,Ent Dist Systems
ISE,201,03,3,1230,1515,F,63,80,S Amin,50095,In Person,Engr Stat
CA,190,02,2,TBA,,TBA,0,1,S Riley,42384,In Person,Field Work-Intern
ENGL,001A,74,3,1630,1745,TR,23,23,E Johnson,46523,In Person,First Year Writing
MUSC,010A,82,3,TBA,,TBA,68,70,T Langan,43142,Online Only - TBA Mtg Pat,Music Appreciation
BUS5,140,01,3,1030,1145,MW,44,45,C Lim,44794,In Person,Fund of Oper Mgmt
COMM,291,01,1,TBA,,TBA,0,5,J Morrison,41988,In Person,Grad Internship
CMPE,298,01,1,TBA,,TBA,0,20,D Harkey,42270,In Person,Special Problems
CS,022A,02,3,1630,1745,TR,34,30,N Ferguson,43461,In Person,Python for Nonmjrs I
EDCO,232,02,3,1900,2145,R,22,35,M Schekman,43292,In Person,Law & Ethics Couns
LLD,100A,11,3,0930,1215,F,24,22,N Shugan,43584,In Person,Writing Competency
ENGR,195A,03,1,1330,1445,F,156,150,L Zou,45708,In Person,Glob/Soc Iss Engr
ANI,031,05,3,1800,2050,TR,25,25,J Jackson,47285,In Person,2D Animation I
AAS,033A,08,3,0900,1015,TR,40,40,H Do,43853,In Person,AAS History I
BME,115,01,4,1330,1450,TR,65,64,P Jurney,41708,In Person,Fndtns Biomed Engr
EDSE,102,80,3,TBA,,TBA,39,40,A Henderson,50104,Online Only - TBA Mtg Pat,Sp Lng Typ/At Dev
KIN,038,01,1,1030,1120,TR,29,30,J Fonda,45545,In Person,Begin Jogging
KIN,055A,01,1,1130,1220,MW,33,30,G Chen,40350,In Person,Begin Self-Defense
BIOL,066,29,0,1430,1720,W,22,24,E Kim,44554,In Person,Human Physiology
CHAD,163,01,3,0900,1015,TR,30,30,K Tsai,43537,In Person,Crit Iss Adol Dev
JOUR,176A,01,3,1200,1315,MW,11,20,H Kazem,47679,In Person,Documentary I
COMM,020,17,3,0730,0845,M,27,27,E Harris,41895,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
MUSC,160F,01,1,TBA,,TBA,7,10,J Lewis,41192,In Person,ENS: Small Jazz Ensemb
SOCI,001,01,3,0900,1015,MW,120,120,M Pasion,47883,In Person,Intro to Sociology
SCED,184Y,01,4,TBA,,TBA,8,30,R Kelly,40255,In Person,Stdt Tchg II
HS,103,02,3,0900,1145,T,73,75,A Shaw,47852,In Person,Intr Health Policy
NUFS,020,01,2,1200,1340,M,37,35,A Widaman,48729,In Person,Sanitatn & Env Iss
RTVF,111,02,3,1800,2045,M,46,48,D Todd,49038,In Person,Alternative Cinema
URBP,298B,03,3,TBA,,TBA,10,10,S Alexander,48447,In Person,Special Study: Pln Rpt Comp
DANC,054,02,3,0900,1040,MF,16,30,D Lomuljo,48695,In Person,TPCS in Danc II
ENGR,010,11,0,1800,2045,T,24,22,S Sepka,41845,In Person,Intro to Engr
KIN,055A,02,1,1230,1320,MW,35,30,G Chen,43931,In Person,Begin Self-Defense
TECH,067,01,3,1500,1550,TR,32,30,M Zand,45692,In Person,Intro to IoT
PHIL,061,01,3,0730,0845,MW,44,46,J Wilhelmsson,40214,In Person,Moral Issues
PSYC,190,06,3,1200,1315,TR,21,22,J GREGG,48855,In Person,Curr Iss Capstone
OCTH,221,04,3,0900,1145,F,17,21,P Bailey,45307,In Person,OccupatAnalysis
CHEM,131A,02,2,0900,1150,TR,16,1,E Migicovsky,46372,In Person,Biochem Lab
BUS1,020,08,3,1330,1445,TR,46,45,K Fowler,47269,In Person,Financial Account
KIN,169,04,3,0900,1015,TR,24,30,M Crockett,48646,In Person,Divrsty/Stress/Hlth
KIN,020A,03,1,0830,0920,TR,27,24,L Cai,42524,In Person,Begin Badminton
COMM,298,02,2,TBA,,TBA,0,3,,41382,In Person,Master's Project
CHEM,001A,02,5,1030,1120,MWF,235,235,L Cheruzel,40100,In Person,General Chem
CE,160,03,0,1330,1615,R,14,18,P Tun,41733,In Person,Struc Anlys
TA,128,01,3,1030,1145,TR,14,25,B Butler,48792,In Person,Scriptwriting
PHYS,052,13,0,1200,1450,R,16,18,R Bahuguna,40237,In Person,General Physics
SPAN,004B,80,4,TBA,,TBA,22,30,A Dias Ferreira,45007,Online Only - TBA Mtg Pat,Basic Spanish II
MS,203,01,4,TBA,,TBA,3,30,M Graham,48399,In Person,Adv Mar Ecol
MCOM,063,05,3,1800,2045,M,19,20,V Nelson,46569,In Person,New Media
FREN,001A,80,4,TBA,,TBA,40,40,L Pilot-Darier-Baziere,44969,Online Only - TBA Mtg Pat,Elem French
ENGL,100WB,09,3,1500,1615,MW,26,25,J Hessler,49855,In Person,Written Comm Business
ANTH,140,02,3,1200,1315,MW,26,40,J Marlovits,47031,In Person,Human Sexuality
EDSE,221,01,3,1600,1845,R,5,34,A Golloher,42579,2 Pat - Mtg Pat & TBA (See Class Note),Int Yg Ch Dis Dlys
MATH,050,03,2,1430,1520,R,0,18,Q Tan,50367,In Person,Sci Computing I
CHEM,180,04,1,TBA,,TBA,0,15,A Wolcott,45279,In Person,Indiv Studies
MUSC,010A,03,3,0900,1015,TR,67,70,G Haramaki,40182,In Person,Music Appreciation
TA,005,09,3,1330,1445,TR,26,26,B Butler,43121,In Person,Acting
HS,135,01,3,0900,1145,W,27,30,A Shaw,47985,In Person,Hlth Multiculture
SCWK,230,01,4,TBA,,TBA,14,18,A Fimbres Windley,45501,In Person,Soc W Pract I
