Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
CS,157A,03,3,1330,1445,MW,28,30,K Tarnowska,47419,In Person,Int to Dtb Mgt Sys
ECON,236,01,3,1830,2115,W,6,15,T Seshadri,47879,In Person,Sem Intern Tr & Fin
MATH,115,01,3,1330,1445,MW,34,30,M Blockus,41293,In Person,Mod Geom & Trans
OCTH,286,06,0,1630,1745,TR,10,11,M Sullivan,43498,In Person,Seminar & Pract IB
CS,259,01,3,1800,1915,MW,22,20,R Chun,41426,In Person,Adv. Parallel Proc
PKG,180,06,6,TBA,,TBA,0,10,F Yambrach,41583,In Person,Individual Studies
ART,013,03,3,1200,1450,TR,24,25,T Cunniff,40010,In Person,3-D Concepts
EDCO,218,01,3,1900,2145,M,32,35,L Capizzi,43290,In Person,Couns Process
SCI,001,15,1.5,1630,1745,TR,23,45,K Singmaster,43358,In Person,Acadmc Excel Wkshp
PSYC,117,05,3,1330,1445,TR,54,60,P Cravalho,48478,In Person,Psych Tests & Meas
BME,177,04,0,1030,1315,F,11,20,N Gulkaya,49080,In Person,Physiol for Engr
COMM,040,62,3,0900,1015,MW,24,26,M Sunseri,47327,In Person,Argmnt/Advocacy
MATH,298,01,3,TBA,,TBA,1,3,H Katsuura,50752,In Person,Special Study
CHEM,180,16,2,TBA,,TBA,1,3,D Eggers,45291,In Person,Indiv Studies
AFAM,120,01,3,0900,1015,MW,24,25,F Ortega,48877,In Person,Soci Black Comm
ENGL,071,04,3,1500,1615,MW,24,25,J Damm,42263,In Person,Intro Creative Writ
CHEM,009,04,1,0930,1220,F,16,17,X Wang,46449,In Person,Organic Chem Lab
GEOL,007,07,0,1130,1415,W,24,24,D Espinoza,42125,In Person,Earth Time and Life
CMPE,135,01,3,1330,1445,TR,23,50,R Mak,47709,In Person,Obj Orient Anl Des
PSYC,001,08,3,0930,1215,F,107,125,S Del Chiaro,45028,In Person,Introductory Psychology
BIOL,284,01,1,TBA,,TBA,0,15,,40627,In Person,MA Directed Reading
BUS5,187,87,3,TBA,,TBA,44,45,A Loomba,49239,Online Only - TBA Mtg Pat,Global Dimensn Bus
COMM,180,01,1,TBA,,TBA,1,5,M Spangler,40814,In Person,Individual Study
MATH,142,01,3,0900,1015,MW,35,35,W So,43112,In Person,Intro to Comb
CS,146,05,3,0900,1015,MW,29,30,F Mortezaie,47473,In Person,Data Struct & Alg
LING,022,02,3,1500,1615,MW,23,25,C Bankston,43536,In Person,Lang across Life
GEOL,107,02,3,1200,1315,TR,38,37,B Buerer,41307,In Person,Prehistoric Life
HS,111,01,3,1200,1315,MW,7,35,M Jordan,49281,In Person,Medical Ethics
ENGL,299,04,6,TBA,,TBA,0,10,R McNabb,50214,In Person,University Thesis
KIN,169,03,3,1330,1445,MW,34,30,K Jeffery,48645,In Person,Divrsty/Stress/Hlth
DSGD,100,05,3,0800,1050,TR,28,25,Y Han,41900,In Person,Vis Comm & Process
CHAD,100W,07,3,1200,1315,TR,26,25,G Cava,48524,In Person,Writing Workshop
CHEM,001A,10,0,0730,1020,T,27,27,C Cabreros,40103,In Person,General Chem
METR,171A,02,0,1430,1520,MWR,5,12,P Brown,42706,In Person,Wx Anal & Fcstg
DSGD,100,06,3,1200,1450,TR,29,25,R Sexton,42227,In Person,Vis Comm & Process
BUS5,162A,01,3,1200,1315,MW,41,40,A Musgrave,44728,In Person,IB Strategy
HS,169,07,3,1200,1445,F,5,30,K Moreno,49329,In Person,Divrsty/Stress/Hlth
TA,116,01,3,1330,1515,M,17,25,K Brandt,41591,In Person,Directing
COMM,074Q,01,3,1200,1315,TR,22,21,K Ward,41514,In Person,Fund Intrcult Comm
CE,020,04,0,0900,1145,R,16,18,A Wong,41701,In Person,Graphics/CAD/Prog
EE,299A,01,3,TBA,,TBA,3,5,B Sirkeci,46552,In Person,MSEE Thesis Proposal
ENGL,001A,09,3,0900,1015,MW,24,23,B Nobleman,42353,In Person,First Year Writing
PSYC,117,04,3,1500,1745,T,49,50,T Shirley,43408,In Person,Psych Tests & Meas
JS,123,01,3,1630,1915,T,39,40,S Morewitz,48384,In Person,Terrorism & Security
KIN,158,08,0,1000,1150,T,21,20,L Jin,46442,In Person,Biomechanics
MATH,129A,02,3,1200,1315,MW,36,35,O Kovaleva,41041,In Person,Linear Algebra I
CS,151,06,3,1330,1445,MW,44,30,F Di Troia,50423,In Person,Object Orntd Dsgn
KIN,053B,01,1,0830,1020,F,1,10,J Keeling,42558,In Person,Inter Karate
BIOL,284,21,3,TBA,,TBA,0,15,,48189,In Person,MA Directed Reading
MATH,180R,01,3,TBA,,TBA,1,2,L Stanton,50777,In Person,UG Math Research
CHE,211,01,3,1800,2045,M,20,35,L Aarons,44255,In Person,Adv Ch Engr Thermo
EDCO,004FY,18,0,1600,1750,R,16,25,M Randle,49158,2 Pat - Mtg Pat & TBA (See Class Note),Career Exploration
GEOL,004L,04,1,1330,1615,W,26,25,M Springs,40316,In Person,Earth Systems Lab
PHYS,052,14,0,1330,1620,M,14,18,M Shao,40229,In Person,General Physics
CHEM,113A,04,2,1430,1720,TR,14,15,P Dirlam,40124,In Person,Organic Chem Lab
EDCO,004FY,24,0,0900,1050,F,16,25,M West,46390,In Person,Career Exploration
NURS,147B,03,3,0800,1700,T,10,10,C Finkbeiner,41325,In Person,Com Hlth Clin
BIOL,105,01,3,1500,1615,TR,58,50,E Ho,41342,In Person,Developmental Biol
KIN,257,01,3,1600,1845,R,12,15,J Hannigan,48653,In Person,Biomechanics
CCS,010A,01,3,0730,0845,MW,28,36,J Covarrubias,48710,In Person,Mex Am US Hist/Gov
COMM,110F,03,4,1200,1315,R,27,25,M Haverfield,49925,2 Pat - Mtg Pat & TBA (See Class Note),Interpersonal Comm
PSYC,211,01,3,1200,1445,W,14,15,M Capriotti,48523,In Person,Child Psychopathol
KIN,003,01,1,1230,1420,T,19,25,K Paradi,45597,In Person,Water Polo
PHIL,070A,01,3,0900,1015,MW,41,42,J Lindahl,40217,In Person,Ancient Philosophy
INFO,298,01,1,TBA,,TBA,2,35,,42336,Online Only - TBA Mtg Pat,Special Study
PSYC,298,01,1-6,TBA,,TBA,0,0,,40529,In Person,Special Prob
ENGL,001AF,03,3,0900,1015,MW,22,22,A Ahmad,42843,In Person,FYW: Stretch English I
COMM,040,02,3,0900,1015,T,25,25,S Waltrip-Sequeira,41909,2 Pat - Mtg Pat & TBA (See Class Note),Argmnt/Advocacy
AE,171A,02,3,0830,1115,F,50,50,G Mendoza,49923,In Person,Aircraft Design I
BUS5,140,02,3,1200,1315,MW,53,45,J Tan,45798,In Person,Fund of Oper Mgmt
BME,299,02,3,TBA,,TBA,0,20,,47382,In Person,MS Thesis
HIST,010B,01,3,1330,1445,TR,18,25,R Cirivilleri,45878,In Person,Western Civilizatn
MCOM,298A,01,3,TBA,,TBA,2,25,S Fosdick,47241,In Person,Master's Project I
MATH,030W,62,1,1500,1615,MW,28,28,J Fontes,45442,In Person,Calculus I Workshop
DSID,128,01,3,1500,2050,R,19,24,C Whittall,44625,In Person,Adv Projects in ID
ENGL,001A,21,3,1030,1145,MW,23,23,C Saylor,42401,In Person,First Year Writing
HUM,101,01,3,1200,1315,MW,19,30,C Rostankowski,41245,In Person,Human Life
BUS2,130,09,3,0900,1015,TR,49,45,R Murray,41916,In Person,Intro to Marketing
MATH,012,03,3,0900,1015,TR,27,28,J Sliva,48469,In Person,Number Systems
GEOL,168A,01,6,1030,1315,TR,0,40,A Mathews,49392,In Person,Global Climate Change I
PKG,146,01,3,1030,1210,M,13,20,F Yambrach,48817,In Person,Medical Device Pkg
KIN,024B,01,1,1030,1120,TR,38,30,M Pascal-Gonzales,45538,In Person,Inter Bowling
CE,150,06,0,1800,2045,W,19,12,B Tailor,44295,In Person,Hydro and Hydrau
METR,010,02,3,0900,1015,TR,42,46,R Plofkin,40168,In Person,Weather & Climate
CS,042,05,3,1030,1145,TR,1,40,M Campisi,49612,In Person,Discrete Math
MILS,180,01,3,TBA,,TBA,0,15,M Morales,40690,In Person,Individual Studies
CCS,180,01,1-4,TBA,,TBA,0,0,J Gomez,48696,In Person,Indiv Studies
KNED,339,01,3,1600,1750,T,12,15,W Jones,40375,In Person,Instr Matl & Proc PE
MATH,018A,15,3,1500,1615,TR,35,35,R Cho,48625,In Person,College Algebra
GEOL,001,02,4,1330,1445,MW,60,63,A Van Dyne,41213,In Person,General Geology
DANC,042A,02,2,0900,1020,TR,11,30,K Pinto,48666,In Person,Tpcs in Jazz Dance I
HUM,168A,01,6,1030,1315,TR,2,40,A Mathews,49389,In Person,Global Climate Change I
MATH,031W,64,1,1500,1615,TR,23,28,S Crunk,43695,In Person,Calculus II Workshop
ATH,002S,01,1,TBA,,TBA,44,50,B Sanfilippo,40019,In Person,Skls Dvlo BsBl-Men
HS,135,03,3,1500,1745,W,28,30,N Zhang,47987,In Person,Hlth Multiculture
CHEM,130C,01,3,0900,1015,MW,47,60,N Wang,41105,In Person,Biochemistry
KIN,198,01,1,TBA,,TBA,7,10,B Shifflett,43059,In Person,Internship
ENVS,010,02,3,1030,1145,MW,35,35,M Klock,49863,In Person,Life Chang Planet
JS,152,01,3,0900,1015,TR,50,55,V Montelongo,42603,In Person,Juv Delinquency
MATH,071,03,3,1200,1315,MW,48,40,J Cavallaro,47887,In Person,Calc Bus/Aviation
LLD,100WB,05,3,1500,1615,MW,24,25,S Stranahan,45923,In Person,Wrtg Wrkshp Bsns Stdnts
EDCO,180,02,2,1800,2000,T,15,25,M Randle,47637,In Person,Individual Studies
BUS1,173B,01,3,1800,2045,T,45,45,X Xu,47131,In Person,Prob in Fin Mgmt
MUSC,117,02,3,1200,1315,MW,70,65,A Romero,44896,In Person,Mus Cul Latin Am
SCWK,107,02,3,1500,1745,T,3,30,V Silva,49554,In Person,Aging and Society
CHAD,070,01,3,0730,0845,MW,29,30,P Bonander Oakes,45554,In Person,Lifespan Devel
BUS1,170,14,3,1330,1445,MW,32,45,F Jones,50667,In Person,Fund of Finance
MATH,018A,03,3,1200,1315,MW,39,35,T Becker,47911,In Person,College Algebra
BIOL,280,05,1,TBA,,TBA,0,15,,40626,In Person,Individual Studies
NUFS,298,17,2,TBA,,TBA,0,10,X Liu,41181,In Person,Special Studies
KIN,162,01,3,1230,1320,TR,36,40,C Cisar,40359,In Person,Adv Fit Asse Ex RX
GEOL,007,01,4,1030,1145,TR,81,81,J Petsche,40396,In Person,Earth Time and Life
CHEM,180,10,1,TBA,,TBA,10,10,L Miller Conrad,45285,In Person,Indiv Studies
ENVS,166,10,0,TBA,,TBA,15,20,G Klee,42148,In Person,Nature Photography
BME,291,01,1,1500,1750,F,25,50,A Aryaei,46374,In Person,Thesis Proj Prep
NUFS,280A,07,12,TBA,,TBA,0,10,K Mauldin,40554,In Person,Dietetic Internship
DANC,051A,01,3,1330,1520,M,38,20,H Cooper,48681,In Person,Dance Production
TECH,066,11,0,0900,1145,F,32,30,W Abdeljabbar,45010,In Person,Network Admin
SE,156,02,3,1330,1445,TR,0,30,R Khayrallah,49249,In Person,Intro to Art Intel
MATH,071W,31,1,1030,1145,MW,30,30,A Gottlieb,50482,In Person,Calc Wkshp Bus/Avi
DSID,031,03,3,1500,1750,MW,21,20,J Shook,46487,In Person,ID Foundation I
HS,107,02,3,1500,1745,T,6,30,V Silva,49552,In Person,Aging and Society
AE,210,01,3,1930,2045,TR,13,30,P Papadopoulos,42794,In Person,Adv Space Sys Eng
PSYC,001,04,3,0900,1015,TR,42,40,N Rattan,45024,In Person,Introductory Psychology
CHAD,199,01,1,TBA,,TBA,0,1,E Slusser,41115,In Person,Sen Honors Thesis
BUS3,189,15,3,0900,1015,TR,32,30,C Wang,43551,In Person,Strategic Mgmt
OCTH,246,01,3,0900,1145,W,19,21,D Bolding,42939,In Person,OT w Young Adults
FS,162,02,0,0900,1130,R,34,36,M Juno,44227,In Person,FS Applications
EE,272,01,3,1930,2045,TR,52,60,M Jones,42208,In Person,SOC DESIGN
GEOL,009,01,4,0900,1015,TR,62,63,J Waco,42455,In Person,Earth Disasters
ENVS,110,10,0,0900,1025,TR,21,20,R Lazzeri-Aerts,47598,In Person,Resource Analysis
ATH,012S,04,1,TBA,,TBA,5,20,B Brennan,40030,In Person,Skl Dvlp Football
EDSE,218C,80,3,TBA,,TBA,17,30,J Astor,44764,Online Only - TBA Mtg Pat,ASD: Collab Implem
ENGL,001AF,21,3,1500,1615,MW,22,22,J Logan,43248,In Person,FYW: Stretch English I
CMPE,298I,42,3,TBA,,TBA,0,25,I Eswar,43524,In Person,CMPE/SE Internship
JS,107,01,3,1500,1615,MW,40,55,N Birthelmer,44239,In Person,Justice Mgmt
PSYC,249,01,3,1930,2215,T,10,15,M Hosoda,43426,In Person,I/O Psy Field Work
BUS5,140,85,3,TBA,,TBA,45,45,S Zhou,44811,Online Only - TBA Mtg Pat,Fund of Oper Mgmt
PHIL,057,04,3,1030,1145,TR,43,40,N Osborne,41049,In Person,Logic & Crit Reas
PHYS,051,23,0,0900,1150,R,18,16,A Cabot,41871,In Person,General Physics
TECH,020A,01,2,1200,1250,T,22,30,S Effati,44245,In Person,Comp Aid Graphics
MICR,298,03,2,TBA,,TBA,0,10,,40733,In Person,Research
MATH,143M,02,3,1030,1145,MW,22,25,M Saleem,48602,In Person,Num Analy Sci Comp
MDES,180,04,4,TBA,,TBA,0,1,J Rycenga,49337,In Person,Indiv Studies
ANTH,146,01,3,1330,1445,MW,39,40,G Bousquet,41312,In Person,Culture & Conflict
ISE,217,01,3,1800,2045,W,19,60,A Moallem,47227,In Person,Hum Cmptr Int
ENGR,100W,55,3,1800,1850,MW,25,22,S Wemusa,47402,In Person,Engr Reports
MATH,105,01,3,1030,1145,MW,27,28,B Pence,48458,In Person,Math Stats Concept
ENVS,158,02,3,1330,1445,MW,23,25,R Foran,43314,In Person,Environmental Education
LLD,100A,11,3,0930,1215,F,24,22,N Shugan,43584,In Person,Writing Competency
NUFS,144,01,3,0730,0845,TR,30,30,D Billings,40703,In Person,Food Culture
RECL,112,02,3,0730,0845,TR,28,25,B Grosvenor,48120,In Person,Intro to RT
NURS,054,02,2,0800,1100,R,20,22,L Higgins,41622,In Person,Nursing Skills II
CS,151,04,3,1800,1915,MW,44,56,X Pang,50121,In Person,Object Orntd Dsgn
COMM,184,02,2,TBA,,TBA,0,5,,41189,In Person,Directed Reading
EDCO,279,02,3,1900,2145,R,22,25,L Roberts,44153,In Person,Adv Group Process
ENVS,270,10,0,1330,1530,W,17,15,C Rampini,47835,In Person,Field Studies Watr
ART,198,01,3,1200,1445,T,20,20,M Day,41755,In Person,B.F.A. Seminar
SOCI,299,61,6,TBA,,TBA,0,2,,40669,In Person,Masters Thesis
BIOL,297,37,3,TBA,,TBA,0,15,,48238,In Person,Grad Research
BUS2,090,81,3,TBA,,TBA,40,45,S Silver,48520,Online Only - TBA Mtg Pat,Bus Statistics
HIST,170S,80,3,TBA,,TBA,30,28,K Chilton,43601,Online Only - TBA Mtg Pat,Topics Am History
EE,124,04,0,1330,1615,T,14,20,V Kanchi,41730,In Person,Electr Design II
KIN,052A,02,1,1030,1120,TR,28,30,D Williams,43039,In Person,Begin Judo
MCOM,072,02,3,1500,1615,MW,71,70,R Rucker,41485,In Person,Mcom & Society
ATH,044I,01,1,TBA,,TBA,26,40,L Hanson,40061,In Person,Soccer Women
ENGL,001AF,20,3,1330,1445,TR,20,22,S Sloan,42861,In Person,FYW: Stretch English I
CE,140,03,0,1330,1615,W,20,18,R Lukkoor,42193,In Person,Geotech Engr
HSPM,107,01,3,1030,1145,MW,22,35,J Dworak,41804,In Person,Legal Hospitality
WOMS,102,01,3,0900,1015,MW,33,35,S Gallardo,45780,In Person,Global Women
ME,140,11,0,1800,2045,R,0,20,D PATEL,49275,In Person,Green Prod Design
GEOL,001,06,0,1730,2015,T,24,25,R Missel,41259,In Person,General Geology
PSYC,186,08,1,TBA,,TBA,1,10,M Hosoda,50781,In Person,Psych Field Wk
ENGR,200W,03,3,1900,2145,T,23,22,M Highby,42984,In Person,Engr Grad Reports
CMPE,272,02,3,0915,1200,S,70,90,R Sinn,43223,In Person,Enterprise SW Plat
COMM,080,04,1,TBA,,TBA,45,45,S McGaffey,40738,In Person,Communication Workshop
BIOL,205,11,0,1030,1320,TR,20,15,L Khatib,41767,In Person,Adv Molec Tech
GLST,189,02,2,TBA,,TBA,0,3,K Cushing,48843,In Person,Global Experience
BUS2,194A,02,3,1800,2045,T,56,57,H Eisips,49184,In Person,Statistical Analysis
KIN,101,02,3,1200,1315,TR,41,40,M Crockett,42158,In Person,Sport in America
TECH,169,01,3,1200,1250,TR,25,30,T Brown Jr.,45730,In Person,Applied Elec Desgn
MUSC,010B,03,3,1030,1145,TR,46,50,J Selmer,43966,In Person,Intro to Music
MS,298,14,4,TBA,,TBA,2,25,B McDonald,42040,In Person,Resrch Mar Sci
KIN,054B,01,1,0830,0920,TR,3,10,J Schachner,50618,In Person,Int Tae Kwon Do
BIOL,165,01,4,1630,1720,MW,32,30,J McDaniel,47494,In Person,Adv Human Anatomy
CHEM,001B,09,0,1630,2045,M,25,20,K Padmanabhan,50196,In Person,Gen Chem
CHE,160B,03,0,1330,1615,R,26,25,K Kao,43302,In Person,Unit Oper II
MATH,030W,63,1,1200,1315,TR,28,28,M Roy,48424,In Person,Calculus I Workshop
JWSS,144,01,4,1630,1915,M,0,40,D Dudley,49516,In Person,Middle Eastern Pol
BIOL,186,11,3,TBA,,TBA,0,15,,48065,In Person,Senior Thesis
ANTH,298,03,3,TBA,,TBA,0,5,,44308,In Person,Anth Project
MATH,071W,05,1,1500,1615,MW,24,28,T Osland,47901,In Person,Calc Wkshp Bus/Avi
CS,049J,01,3,1200,1315,TR,32,30,K O'Brien,42246,In Person,Programming in Java
CHEM,030A,12,0,1030,1320,F,29,29,M Do,41373,In Person,Intro Chem
BIOL,280,12,2,TBA,,TBA,0,15,J Johnston,48178,In Person,Individual Studies
BIOL,299,41,4,TBA,,TBA,0,15,,40786,In Person,MA Thesis
HS,001,05,3,1200,1315,TR,32,30,L Mai,44761,In Person,Understand Health
BUS4,188,12,3,1800,2045,W,44,45,L Gee,43000,In Person,Business Systems
BIOL,066,27,0,0730,1020,W,24,24,B Dupriest,44552,In Person,Human Physiology
SCWK,220,01,3,1200,1445,M,28,30,L Hayes,43817,In Person,Trans Gen Prac I
CE,164,01,3,1330,1615,W,26,30,K McMullin,41741,In Person,Design Wood Struc
MATH,071W,01,1,0900,1015,MW,26,28,S Simic,47897,In Person,Calc Wkshp Bus/Avi
ANI,011,01,3,0800,1050,TR,24,25,A Wu,41822,In Person,Illus Fundamentl I
PSYC,158,02,3,1330,1445,TR,40,40,C Feria,45860,In Person,Perception
DANC,010,02,3,1030,1145,TR,68,70,J Walton,41362,In Person,Dance Appreciation
AE,172A,01,3,0730,0845,TR,37,50,P Papadopoulos,44348,In Person,Spacecraft Dsgn I
BUS5,167,01,3,1330,1445,TR,36,45,R Roman,48316,In Person,Managing Envir Iss
LING,123,03,3,1200,1315,MW,24,24,R Kataoka,40900,In Person,Sound Comm
HSPM,175,80,3,TBA,,TBA,28,40,F Memarzadeh,50510,Online Only - TBA Mtg Pat,Entrepreneurship
BIOL,215,01,3,1200,1250,MWF,7,18,T Abramson,50669,In Person,Sem Adv Genetics
CCS,010A,06,3,1030,1145,MW,34,36,A Rodriguez,48715,In Person,Mex Am US Hist/Gov
KIN,030,06,1,1430,1520,TR,24,30,A Batt,46439,In Person,Pilates
BIOL,297,14,2,TBA,,TBA,1,15,E Skovran,48219,In Person,Grad Research
BIOL,155,13,0,1430,1720,R,0,10,F Hijazi,42183,In Person,Hypothesis Testing
ECON,136,01,4,1200,1315,TR,42,40,J Pogodzinski,43175,In Person,Internatl Econ
MATE,153,02,0,1030,1315,M,14,16,S Duorah,41400,In Person,EO&M Props Solids
SCWK,141,08,4,TBA,,TBA,0,15,,47093,In Person,Field Practicum I
PSYC,193,01,3,1200,1315,MW,5,35,M Cerda,49435,In Person,Beh Science in Practice
NUFS,110A,01,3,1200,1340,M,47,45,C LaSalle,40199,In Person,Med Nutrition Ther
NUFS,107,01,3,1700,1945,M,15,40,F Yambrach,49294,In Person,Prin of Packaging
